City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,sakakah,29.9697,40.2064,28.76,20,85,2.05,SA,1699692421
262,mongo,12.1844,18.693,34.47,18,100,1.38,TD,1699692422
263,tucuma,-0.1833,-50.05,27.61,73,76,4.53,BR,1699692422
264,amarante do maranhao,-5.5667,-46.7422,23.0,79,0,2.14,BR,1699692423
265,charef,34.621,2.795,12.23,51,1,4.69,DZ,1699692424
266,ispir,40.4829,40.9956,14.73,53,95,2.27,TR,1699692425
267,labrador city,52.9463,-66.9114,-10.05,92,100,0.0,CA,1699692426
268,avarua,-21.2078,-159.775,24.03,88,100,1.03,CK,1699691987
269,rhar el melah,37.1694,10.1906,19.82,61,66,9.14,TN,1699692427
270,sinabang,2.4803,96.3801,26.89,79,100,1.16,ID,1699692428
271,general acha,-37.377,-64.6043,12.52,94,29,2.48,AR,1699692428
272,ixtapa,20.7,-105.2,23.16,95,100,1.23,MX,1699692198
273,mili,6.0815,171.735,28.32,79,100,5.73,MH,1699692430
274,miquelon,47.0975,-56.3814,3.0,71,60,10.21,PM,1699692431
275,soligalich,59.0778,42.2864,2.05,87,100,3.31,RU,1699692431
276,elliot lake,46.3834,-82.6331,-6.21,95,13,1.45,CA,1699692432
277,obihiro,42.9172,143.2044,1.67,63,1,6.37,JP,1699692433
278,nuuk,64.1835,-51.7216,-5.66,73,22,5.14,GL,1699692433
279,rutana,-3.8667,30.1,20.64,69,100,2.88,BI,1699692434
280,arkalyk,50.2486,66.9114,9.71,52,76,7.74,KZ,1699692435
281,aasiaat,68.7098,-52.8699,-12.69,80,100,4.37,GL,1699692141
282,kenora,49.8167,-94.4337,-2.46,93,100,0.0,CA,1699692436
283,island harbour,50.724,-1.2758,6.63,92,51,0.89,GB,1699692061
284,ostersund,63.1792,14.6357,-3.75,93,100,5.14,SE,1699692438
285,vernon,50.2581,-119.2691,7.39,75,100,1.34,CA,1699692438
286,walvis bay,-22.9575,14.5053,21.53,60,0,2.06,NA,1699692439
287,manokwari,-0.8667,134.0833,27.57,81,100,3.43,ID,1699692440
288,popondetta,-8.7537,148.2534,23.79,83,41,1.24,PG,1699692440
289,khovd,48.0056,91.6419,-3.03,85,100,1.53,MN,1699692441
290,boa vista,2.8197,-60.6733,26.99,74,0,3.09,BR,1699692155
291,marco island,25.9363,-81.7157,23.32,96,0,1.54,US,1699692442
292,gurun,5.8172,100.4738,27.88,90,100,1.61,MY,1699692443
293,inarajan village,13.2736,144.7484,29.54,76,90,7.96,GU,1699692444
294,cienfuegos,22.1461,-80.4356,25.08,94,34,3.6,CU,1699692445
295,kapit,2.0167,112.9333,27.73,79,79,0.94,MY,1699692446
296,ketchikan,55.3422,-131.6461,6.26,87,100,0.0,US,1699692446
297,saint-joseph,-21.3667,55.6167,26.72,82,97,4.23,RE,1699692448
298,el porvenir,13.7617,-87.3458,22.63,92,73,2.6,HN,1699692448
299,katsuren-haebaru,26.3369,127.8719,22.21,83,100,5.66,JP,1699692449
300,sitka,57.0531,-135.33,5.94,81,100,5.66,US,1699692450
301,chhatarpur,24.9,79.6,31.85,27,1,3.16,IN,1699692450
302,chuzhou,32.3219,118.2978,8.9,81,100,7.05,CN,1699692451
303,yeniseysk,58.4497,92.1703,-8.36,73,100,2.24,RU,1699692452
304,yaren,-0.5472,166.916,28.57,82,100,11.93,NR,1699692452
305,waajid,3.8096,43.2463,28.86,59,94,5.78,SO,1699692453
306,rosarito,32.3333,-117.0333,12.53,42,2,1.49,MX,1699692304
307,velikiy ustyug,60.7644,46.3106,-0.34,87,100,1.34,RU,1699692455
308,kulhudhuffushi,6.6221,73.07,28.33,74,77,3.56,MV,1699692455
309,colon,9.3592,-79.9014,24.39,92,98,1.79,PA,1699692456
310,pleasanton,37.6624,-121.8747,14.52,58,0,0.0,US,1699692252
311,antalaha,-14.9003,50.2788,27.07,82,74,2.49,MG,1699692458
312,challapata,-18.9,-66.7667,9.5,63,99,1.52,BO,1699692459
313,nema,57.5067,50.5011,2.37,83,100,2.75,RU,1699692460
314,sansanne-mango,10.3592,0.4708,31.44,52,100,3.19,TG,1699692461
315,bodo,67.28,14.405,-1.98,71,0,7.72,NO,1699691899
316,mejit,10.2753,170.8646,28.01,80,100,8.49,MH,1699692462
317,itoman,26.1247,127.6694,22.21,88,75,7.72,JP,1699692463
318,shindand,33.3029,62.1474,21.54,15,4,2.12,AF,1699692463
319,kailua-kona,19.6406,-155.9956,24.17,91,100,3.09,US,1699692409
320,lucapa,-8.4192,20.7447,22.56,81,100,1.22,AO,1699692465
321,san luis de la loma,17.2706,-100.8939,25.71,88,8,1.38,MX,1699692465
322,itacare,-14.2775,-38.9967,23.96,82,85,3.06,BR,1699692466
323,ronne,55.1009,14.7066,8.95,87,100,4.12,DK,1699692467
324,markovo,57.3206,107.0881,-10.59,87,21,1.12,RU,1699692468
325,ghat,24.9647,10.1728,26.03,12,0,1.95,LY,1699692468
326,mana,5.6592,-53.7767,25.38,91,49,4.32,GF,1699692469
327,bridgewater,44.3835,-64.5155,4.82,81,10,2.57,CA,1699692469
328,pelabuhanratu,-6.9875,106.5514,29.22,73,72,2.21,ID,1699692470
329,les cayes,18.2,-73.75,25.48,87,21,2.31,HT,1699692471
330,chulakkurgan,43.765,69.1814,14.01,28,100,7.02,KZ,1699692471
331,the pas,53.8251,-101.2541,-6.99,100,40,4.63,CA,1699692472
332,mount isa,-20.7333,139.5,28.87,51,40,4.12,AU,1699692185
333,tibanbang,6.6315,126.1055,28.19,78,64,3.26,PH,1699692473
334,el colomo,19.05,-104.25,25.47,85,93,2.36,MX,1699692474
335,olinda,-8.0089,-34.8553,26.85,69,40,4.63,BR,1699692475
336,vilhena,-12.7406,-60.1458,22.83,68,11,1.62,BR,1699692475
337,hermanus,-34.4187,19.2345,18.67,74,51,4.25,ZA,1699692091
338,jumla,29.2747,82.1838,11.63,66,98,2.02,NP,1699692477
339,grand falls-windsor,48.9332,-55.6649,0.84,90,100,0.89,CA,1699692477
340,al jaradiyah,16.5795,42.9124,31.72,34,79,2.78,SA,1699692478
341,yelizovo,53.1873,158.3805,1.08,100,100,4.02,RU,1699692479
342,palikir - national government center,6.9248,158.1611,28.47,89,75,2.06,FM,1699692479
343,thurso,58.5927,-3.5259,5.14,74,100,5.5,GB,1699692480
344,ulsteinvik,62.3432,5.8487,3.2,79,16,2.68,NO,1699692088
345,ntoum,0.3833,9.7833,27.87,94,100,0.54,GA,1699692482
346,hilo,19.7297,-155.09,23.68,85,0,1.54,US,1699692367
347,ayr,55.4627,-4.6339,2.4,100,0,0.51,GB,1699692484
348,talara,-4.5772,-81.2719,20.74,75,99,7.5,PE,1699692485
349,sarangani,5.4033,125.4636,28.71,76,5,5.42,PH,1699692485
350,metlili chaamba,32.2667,3.6333,17.52,36,0,0.0,DZ,1699692486
351,sirte,31.2089,16.5887,25.58,32,60,4.11,LY,1699692487
352,cidreira,-30.1811,-50.2056,19.77,94,83,9.55,BR,1699692488
353,ojinaga,29.5667,-104.4167,11.53,87,100,2.57,MX,1699692489
354,carbonear,47.7332,-53.2148,2.46,92,100,9.05,CA,1699692490
355,oltinko'l,40.8011,72.1634,15.62,21,100,1.25,UZ,1699692490
356,senador pompeu,-5.5881,-39.3717,23.61,70,0,3.36,BR,1699692491
357,sittwe,20.15,92.9,28.15,63,4,3.87,MM,1699692492
358,camarinas,43.1311,-9.1817,18.29,95,100,11.75,ES,1699692493
359,el alto,-4.2714,-81.2147,20.58,70,90,5.96,PE,1699692493
360,idfu,24.9803,32.8747,33.76,25,78,3.03,EG,1699692494
361,maun,-19.9833,23.4167,34.13,24,15,5.26,BW,1699692495
362,arvayheer,46.2639,102.775,-5.12,22,0,0.89,MN,1699692496
